# 25 < pT_ave < 55
# eta_min   eta_max   R_central   R_err_up   R_err_down
-2.9150   -2.6333   0.89950798   0.10358200   0.06944587   
-2.6333   -2.0700   0.96090170   0.08947903   0.07102492   
-2.0700   -1.7883   0.99101291   0.07592599   0.06991236   
-1.7883   -1.5067   1.00859005   0.07617575   0.06864405   
-1.5067   -1.2250   1.02923741   0.07581437   0.06833637   
-1.2250   -0.9433   1.04061479   0.07232870   0.06847557   
-0.9433   -0.6617   1.04351782   0.06546083   0.06569025   
-0.6617   -0.3800   1.04416857   0.05718326   0.06044056   
-0.3800   -0.0983   1.04016639   0.04933848   0.05118235   
-0.0983   0.1833   1.03207066   0.04028068   0.03865143   
0.1833   0.4650   1.01984743   0.03036788   0.02756492   
0.4650   0.7467   1.00329196   0.02635700   0.02738922   
0.7467   1.0283   0.98212397   0.03877187   0.04017064   
1.0283   1.3100   0.96311017   0.05952876   0.05821872   
1.3100   1.5917   0.94631090   0.08075785   0.08066927   
1.5917   1.8733   0.93073233   0.09906339   0.10232366   
1.8733   2.4367   0.91448812   0.11947774   0.12667244   
2.4367   3.0000   0.89653693   0.13818490   0.14939550   

# 55 < pT_ave < 75
# eta_min   eta_max   R_central   R_err_up   R_err_down
-2.9150   -2.6333   0.83039685   0.05709870   0.04539119   
-2.6333   -2.0700   0.86513043   0.07440033   0.05411096   
-2.0700   -1.7883   0.90143609   0.07627342   0.05092257   
-1.7883   -1.5067   0.92762226   0.07145351   0.05071179   
-1.5067   -1.2250   0.97162487   0.06235248   0.04971803   
-1.2250   -0.9433   0.97779757   0.05276372   0.04665975   
-0.9433   -0.6617   1.01423694   0.05222794   0.04566941   
-0.6617   -0.3800   1.02538173   0.05039537   0.04519349   
-0.3800   -0.0983   1.03556133   0.04594986   0.04512315   
-0.0983   0.1833   1.04280900   0.04039915   0.04391186   
0.1833   0.4650   1.03449542   0.03574879   0.03940866   
0.4650   0.7467   1.03268681   0.03339590   0.03353975   
0.7467   1.0283   1.01721857   0.03212991   0.03322277   
1.0283   1.3100   0.99396278   0.03996325   0.04077014   
1.3100   1.5917   0.97820063   0.05703583   0.05593351   
1.5917   1.8733   0.95877132   0.07762898   0.07445854   
1.8733   2.4367   0.93142961   0.10331502   0.10503625   
2.4367   3.0000   0.89463838   0.12854073   0.13544341   

# 75 < pT_ave < 95
# eta_min   eta_max   R_central   R_err_up   R_err_down
